complaint_id,flight_number,customer_id,category,status,created_at
4dc4faa2,TK140,C87258,delay,pending,2025-07-03
34841813,TK877,C43756,other,resolved,2025-06-18
ae8cca3b,TK162,C63331,delay,resolved,2025-08-13
e6545662,TK352,C15626,delay,pending,2025-08-01
2ca34d6c,TK180,C86961,delay,open,2025-07-22
7d022360,TK145,C92711,delay,pending,2025-07-31
8cd6206d,TK655,C95530,other,open,2025-07-30
f5ded22e,TK953,C46444,baggage,resolved,2025-07-01
22fddbc8,TK730,C95553,baggage,resolved,2025-07-03
dacaa24e,TK256,C15655,other,resolved,2025-07-01
00264d3a,TK278,C10526,delay,open,2025-07-30
5d767cb5,TK168,C38541,baggage,resolved,2025-07-09
506271e4,TK765,C75455,delay,open,2025-06-23
1d27d6d1,TK497,C59268,delay,resolved,2025-08-03
6a8b38af,TK953,C70112,service,open,2025-07-29
825c6212,TK294,C93309,other,resolved,2025-08-05
290eb3a0,TK202,C31804,baggage,pending,2025-07-06
31d1af14,TK177,C40087,baggage,resolved,2025-07-06
013cfb2d,TK243,C53408,service,resolved,2025-08-01
3505bc98,TK884,C84319,delay,resolved,2025-07-14
c1d80d6d,TK231,C84441,baggage,pending,2025-07-14
17985b1b,TK976,C59153,delay,pending,2025-07-17
40568a64,TK325,C98652,service,resolved,2025-08-14
29116865,TK400,C91061,delay,resolved,2025-06-27
327b82bc,TK213,C78577,service,resolved,2025-07-07
ce8b1349,TK251,C81626,service,pending,2025-08-07
2b65b6b4,TK456,C36015,delay,pending,2025-08-08
187bf824,TK256,C36289,baggage,resolved,2025-06-30
6185fa01,TK198,C34826,delay,resolved,2025-07-31
9d5da024,TK295,C76435,delay,resolved,2025-08-13
4b8198d2,TK555,C66446,delay,resolved,2025-08-05
1e64f8b4,TK317,C25313,service,resolved,2025-08-03
086d9677,TK838,C11560,seat,resolved,2025-06-22
68eb9ffd,TK250,C62579,baggage,pending,2025-06-24
f83fa322,TK848,C80326,service,open,2025-08-10
23d76782,TK162,C26082,delay,pending,2025-07-06
fa18be4e,TK497,C70315,service,resolved,2025-07-18
eaa431f4,TK455,C26309,service,resolved,2025-08-04
a67a83d6,TK507,C82541,other,resolved,2025-07-23
327160d0,TK838,C84131,baggage,resolved,2025-07-27
191e7311,TK140,C49063,delay,resolved,2025-07-06
156708b2,TK613,C82099,service,resolved,2025-07-11
2a285fd6,TK920,C53585,delay,resolved,2025-07-08
d8640f5c,TK910,C22201,other,resolved,2025-08-04
69219d7f,TK412,C58364,delay,pending,2025-07-14
c3aa5205,TK198,C37490,baggage,resolved,2025-07-17
2275dd82,TK838,C21561,delay,pending,2025-06-22
9dde7f9d,TK309,C36916,seat,resolved,2025-06-23
17bbf1fa,TK358,C80135,delay,resolved,2025-07-08
1b0fb496,TK543,C55893,baggage,resolved,2025-07-19
6a5644f8,TK259,C77649,seat,open,2025-08-15
b5ee2e63,TK820,C31927,delay,resolved,2025-07-24
edd42391,TK259,C62233,service,open,2025-08-06
b15d1ef5,TK645,C81260,delay,pending,2025-08-15
072e2394,TK655,C16276,delay,resolved,2025-08-15
f191395a,TK850,C92495,delay,resolved,2025-07-04
a0a954c7,TK671,C65204,delay,resolved,2025-06-28
090b9fe5,TK542,C19847,seat,resolved,2025-08-01
ab1b24a9,TK838,C28309,delay,open,2025-06-27
82df8216,TK250,C91537,service,resolved,2025-07-21
84d8ac31,TK820,C37420,baggage,resolved,2025-07-10
53fa1579,TK316,C38404,service,open,2025-06-26
f89bab64,TK921,C43997,baggage,resolved,2025-06-27
4341927e,TK358,C11239,baggage,open,2025-07-22
d5d8c80c,TK524,C99393,other,resolved,2025-06-21
3fab3ed6,TK471,C16638,delay,resolved,2025-07-09
fc20e3b9,TK613,C22115,service,open,2025-06-25
233c9ed7,TK154,C11969,delay,resolved,2025-06-27
73b96aaa,TK506,C33196,delay,pending,2025-07-25
a043ea52,TK507,C58320,seat,pending,2025-08-06
177d1fb1,TK495,C65409,delay,pending,2025-06-30
11734a99,TK587,C60138,other,resolved,2025-07-14
ab5d6d6e,TK260,C41890,other,pending,2025-06-29
591edad7,TK456,C88916,delay,resolved,2025-08-14
8778940c,TK507,C27087,service,pending,2025-07-06
86ec24f4,TK701,C97128,seat,resolved,2025-08-03
794eeec5,TK243,C95150,baggage,pending,2025-07-09
2d598740,TK155,C39165,other,resolved,2025-07-13
bffc0bbb,TK252,C83297,seat,resolved,2025-07-02
55ceebe2,TK260,C13712,service,resolved,2025-07-22
cf402e16,TK188,C61924,delay,resolved,2025-08-09
e13af57e,TK607,C19108,delay,resolved,2025-07-14
2ea0f0ef,TK916,C18927,delay,resolved,2025-07-21
6b94cb03,TK507,C86743,baggage,resolved,2025-07-01
73b58a74,TK145,C87576,delay,pending,2025-06-29
60c6a8f1,TK745,C41348,seat,open,2025-08-11
9de56095,TK513,C91889,delay,resolved,2025-07-11
243b4a46,TK916,C83770,baggage,pending,2025-06-27
e5b0c465,TK843,C36987,other,open,2025-07-24
f1339f3f,TK154,C74106,service,resolved,2025-06-17
192263b0,TK302,C49310,delay,pending,2025-08-01
9e0a2201,TK745,C55379,other,resolved,2025-07-13
528af319,TK975,C56413,delay,resolved,2025-06-25
9b476d8b,TK168,C46378,other,resolved,2025-08-08
8a3948be,TK811,C64691,baggage,resolved,2025-08-03
a942fbeb,TK243,C33171,seat,resolved,2025-08-09
c05c4c69,TK252,C54139,service,resolved,2025-08-09
83cfa422,TK405,C99022,service,resolved,2025-07-05
3087e1ae,TK259,C34611,delay,open,2025-06-23
ac8ed844,TK174,C31675,service,resolved,2025-06-18
3e3714b0,TK283,C98204,baggage,pending,2025-07-25
ec9f229a,TK264,C19435,delay,resolved,2025-08-06
2634205b,TK198,C86153,delay,pending,2025-07-23
81b46dcf,TK673,C44084,delay,resolved,2025-07-11
36620e8e,TK183,C17227,baggage,pending,2025-07-28
ca36036e,TK987,C91571,service,resolved,2025-08-11
350cb537,TK771,C74174,delay,pending,2025-07-14
9431992d,TK745,C27014,delay,open,2025-07-10
081def37,TK236,C26014,delay,resolved,2025-08-05
e95ed76a,TK412,C67993,delay,resolved,2025-06-20
ef433b4b,TK513,C17421,service,resolved,2025-08-09
f4f72994,TK138,C75108,baggage,resolved,2025-07-08
d772733d,TK385,C65754,other,open,2025-07-28
0da2f5d4,TK607,C48467,baggage,resolved,2025-07-08
6e99eea2,TK251,C49532,service,open,2025-07-14
e515bc05,TK610,C83379,service,resolved,2025-06-18
09d0896f,TK679,C78008,baggage,resolved,2025-06-17
2870de17,TK243,C79249,baggage,open,2025-07-15
