flight_number,departure_time,delay_minutes,aircraft_type,crew_issues,weather_impact
TK202,2025-06-25T14:30:00,0,A320,0,0
TK314,2025-08-05T10:45:00,31,A320,1,0
TK513,2025-07-09T01:45:00,0,B737,0,0
TK352,2025-07-03T16:30:00,0,A321,0,0
TK882,2025-06-30T18:45:00,0,A321,0,0
TK918,2025-08-09T20:00:00,1,A321,1,0
TK466,2025-06-17T06:45:00,48,A320,1,0
TK661,2025-07-07T03:15:00,29,A320,1,0
TK655,2025-07-13T09:15:00,0,A330,0,0
TK561,2025-07-24T07:00:00,0,A320,0,0
TK316,2025-06-17T12:00:00,0,A320,0,0
TK598,2025-07-30T07:30:00,0,A320,0,0
TK140,2025-07-19T06:00:00,0,A321,0,0
TK506,2025-07-23T04:30:00,0,A321,0,0
TK838,2025-07-10T14:15:00,0,A320,0,0
TK497,2025-07-08T08:30:00,22,A321,0,0
TK833,2025-07-10T22:30:00,11,A330,0,0
TK259,2025-08-09T18:15:00,0,A321,0,0
TK745,2025-07-19T11:45:00,9,A330,0,0
TK289,2025-07-14T00:00:00,0,B737,0,0
TK358,2025-07-08T05:45:00,42,A320,0,0
TK333,2025-07-03T23:30:00,29,A321,0,1
TK541,2025-06-25T11:15:00,0,A330,0,0
TK180,2025-06-18T16:15:00,0,B737,0,0
TK324,2025-08-15T18:15:00,30,B737,0,0
TK302,2025-06-21T16:30:00,0,A321,0,0
TK610,2025-06-29T15:00:00,19,A321,0,0
TK870,2025-07-27T03:30:00,0,B737,0,0
TK810,2025-06-25T08:00:00,57,A320,0,0
TK250,2025-07-16T09:30:00,21,A320,0,0
TK671,2025-06-28T01:00:00,0,A330,0,0
TK230,2025-07-27T23:15:00,0,A320,0,0
TK519,2025-07-09T07:45:00,55,B737,0,0
TK252,2025-07-18T17:45:00,0,B737,0,0
TK679,2025-07-14T13:00:00,0,B737,0,0
TK294,2025-07-30T00:45:00,0,A320,0,0
TK464,2025-06-26T21:45:00,0,A330,0,0
TK383,2025-06-30T00:00:00,0,A320,0,0
TK291,2025-06-28T16:45:00,0,A330,0,0
TK198,2025-06-17T08:00:00,0,A320,0,0
TK198,2025-06-17T00:45:00,51,B737,0,1
TK892,2025-07-05T21:15:00,0,B737,0,0
TK953,2025-07-24T01:30:00,9,A321,0,0
TK492,2025-07-04T21:45:00,0,A320,0,0
TK927,2025-06-19T06:00:00,0,A320,0,0
TK499,2025-08-02T11:30:00,0,A321,0,0
TK826,2025-07-25T18:00:00,7,B737,1,0
TK543,2025-07-10T00:45:00,0,A320,0,0
TK295,2025-08-10T12:45:00,37,A321,0,0
TK919,2025-07-31T12:15:00,51,A320,0,0
TK445,2025-07-10T20:15:00,0,A330,0,0
