ticket_id,flight_number,cancel_reason,refund_status,customer_id
65a9a266,TK497,schedule,approved,C27611
2e506b31,TK198,personal,rejected,C59847
17266179,TK415,other,rejected,C37810
c690fd22,TK162,weather,approved,C46976
c75b081b,TK358,schedule,processing,C22866
ca8269c4,TK294,schedule,rejected,C96156
98d68810,TK291,schedule,processing,C17295
8aa17068,TK790,weather,approved,C85969
1977c3d6,TK502,weather,approved,C31281
a7929d77,TK479,weather,approved,C18605
c65786a2,TK198,personal,approved,C34322
32165828,TK987,weather,processing,C20207
19f74d18,TK168,crew,approved,C84085
dd66a447,TK833,schedule,approved,C69766
92db22d1,TK210,weather,approved,C91253
a40007bc,TK730,personal,approved,C56092
3084db1c,TK952,crew,approved,C78487
d95750a2,TK162,weather,approved,C68394
ef8866db,TK824,weather,rejected,C38454
f177f4a0,TK210,weather,approved,C43204
ea60875f,TK497,personal,approved,C71202
8bc19498,TK587,schedule,processing,C86112
f8f427a4,TK524,schedule,approved,C90905
994c2def,TK177,personal,approved,C35235
eea42ab3,TK862,schedule,processing,C26237
61415b3b,TK613,personal,approved,C56101
03a7da9f,TK325,schedule,approved,C66378
a84d64fa,TK918,schedule,processing,C22237
4dbb776d,TK423,weather,rejected,C58766
aba4a3fd,TK551,weather,approved,C99678
ded76668,TK294,schedule,approved,C41897
e5f4d276,TK920,weather,processing,C32736
997dfba6,TK314,crew,processing,C32440
1f479a1d,TK500,crew,approved,C65103
d75c0803,TK607,weather,approved,C29008
cc5f8f84,TK145,crew,rejected,C15793
1adac071,TK177,personal,approved,C53148
355b9769,TK524,other,approved,C58695
727559d3,TK975,weather,approved,C42441
dfd4cd90,TK455,schedule,approved,C54760
cf9230a7,TK848,schedule,rejected,C95716
92158282,TK183,crew,approved,C68272
d3cd2cf7,TK208,crew,approved,C64040
cb3e14f0,TK122,personal,approved,C15842
7f4bb904,TK256,personal,approved,C27508
969a6c11,TK122,personal,approved,C35599
5ebf5d52,TK497,personal,rejected,C97697
328011ae,TK831,weather,rejected,C64120
56b9a8fd,TK256,personal,approved,C12257
4ba3e507,TK661,weather,rejected,C90769
f1859946,TK177,weather,rejected,C44773
4dd99644,TK744,crew,approved,C93692
83799784,TK260,schedule,processing,C57377
1f0fd3c2,TK539,crew,rejected,C68283
e288e92e,TK850,schedule,approved,C64336
d5b966fa,TK223,personal,processing,C90098
5ea8308b,TK953,personal,approved,C20293
24a423e9,TK824,personal,approved,C12100
3f7b3cef,TK519,schedule,rejected,C28199
b76ad6af,TK843,weather,rejected,C41881
8f3fe98b,TK485,personal,approved,C61813
479fa9c4,TK466,schedule,processing,C34087
5dab6ac5,TK338,personal,rejected,C11401
d9728b7d,TK599,personal,approved,C30307
859662c7,TK154,personal,processing,C86240
990906d7,TK251,personal,approved,C13866
6edf4241,TK466,schedule,approved,C61374
bae2e850,TK333,personal,approved,C91029
1b56df5c,TK760,schedule,approved,C39336
59ab1fb0,TK602,personal,approved,C61955
cd65f313,TK679,crew,rejected,C43487
41775e56,TK395,schedule,rejected,C62870
0ad527e9,TK826,schedule,rejected,C14426
c0bda839,TK140,personal,approved,C38151
bb2adcbe,TK495,weather,approved,C55671
b9e8114e,TK294,personal,rejected,C97265
9542b516,TK982,weather,processing,C59067
ea0aee3b,TK168,weather,approved,C34968
c15526ce,TK884,personal,processing,C84707
e2756f3a,TK982,schedule,approved,C65835
b72181d9,TK744,weather,approved,C56169
76c33bf3,TK671,schedule,approved,C42793
835ce4e9,TK294,other,approved,C98330
c2bc5b57,TK752,crew,rejected,C88915
0bdf6376,TK145,schedule,processing,C84218
dd5d729a,TK524,schedule,approved,C42983
d286b58b,TK762,personal,rejected,C90360
e220122c,TK358,weather,rejected,C26241
6a094848,TK848,weather,approved,C57562
5f91e40b,TK882,personal,approved,C37045
8bbc4c42,TK455,personal,approved,C31625
c1bd7ac2,TK162,other,rejected,C74805
e519ee7b,TK506,personal,approved,C75101
b8b23347,TK405,personal,processing,C77293
4a5bc1b1,TK861,weather,approved,C53527
327a4116,TK877,other,rejected,C34272
34b12dba,TK259,weather,processing,C64110
810bbb62,TK370,other,processing,C22867
cfaba11e,TK877,other,approved,C83402
0984542c,TK316,personal,processing,C97178
a950ae0c,TK955,weather,rejected,C48870
810c9cdc,TK661,weather,processing,C40873
57546c56,TK838,other,processing,C35372
dfeb618b,TK157,personal,processing,C24122
7f9d9fe3,TK918,crew,processing,C80902
c2e34f0c,TK843,schedule,approved,C86253
daea9aa3,TK198,personal,rejected,C98896
ed2adfb9,TK701,schedule,rejected,C97893
1e55dc8f,TK519,weather,approved,C94388
fe8a1acd,TK736,personal,processing,C79119
3d0b2add,TK260,weather,approved,C34532
726c29f0,TK250,personal,processing,C94289
917c147b,TK154,personal,approved,C37413
294e8a09,TK317,personal,approved,C95867
62f400cd,TK824,weather,processing,C33816
7c9592ec,TK465,other,approved,C65841
d9db0a8f,TK161,crew,approved,C63574
e278456a,TK573,personal,approved,C13696
7591e619,TK283,other,approved,C63521
af25efb3,TK953,crew,rejected,C92612
bc1ac7a8,TK477,other,processing,C61313
6c4e831a,TK477,weather,approved,C40099
1d6b5ab0,TK455,weather,approved,C19256
9a9e5bdf,TK456,weather,rejected,C97440
de445a5c,TK250,other,approved,C36536
522b62fd,TK370,personal,approved,C12871
50e023a1,TK892,schedule,approved,C86057
8910ce02,TK570,schedule,processing,C90070
fedec3f7,TK870,personal,rejected,C55607
