flight_number,condition
TK202,clear
TK314,storm
TK513,clear
TK352,rain
TK882,clear
TK918,clear
TK466,clear
TK661,rain
TK655,fog
TK561,fog
TK316,storm
TK598,rain
TK140,fog
TK506,fog
TK838,clear
TK497,rain
TK833,fog
TK259,fog
TK745,clear
TK289,clear
TK358,clear
TK333,clear
TK541,rain
TK180,clear
TK324,rain
TK302,fog
TK610,clear
TK870,clear
TK810,rain
TK250,clear
TK671,clear
TK230,rain
TK519,rain
TK252,rain
TK679,rain
TK294,rain
TK464,rain
TK383,rain
TK291,clear
TK198,clear
TK892,clear
TK953,fog
TK492,clear
TK927,clear
TK499,clear
TK826,fog
TK543,clear
TK295,rain
TK919,rain
TK445,clear
TK157,clear
TK587,storm
TK889,clear
TK168,clear
TK317,fog
TK122,clear
TK861,fog
TK858,clear
TK790,clear
TK701,rain
TK174,clear
TK762,clear
TK161,clear
TK495,clear
TK243,clear
TK664,clear
TK687,clear
TK752,clear
TK264,fog
TK231,clear
TK190,rain
TK555,clear
TK607,clear
TK771,clear
TK404,clear
TK570,clear
TK507,fog
TK415,clear
TK560,rain
TK982,rain
TK952,rain
TK744,clear
TK556,clear
TK405,clear
TK500,fog
TK534,fog
TK897,storm
TK434,fog
TK283,clear
TK846,storm
TK194,rain
TK502,rain
TK177,storm
TK338,fog
TK155,rain
TK765,clear
TK850,clear
TK730,clear
TK311,clear
TK210,fog
TK524,clear
TK976,clear
TK602,rain
TK342,clear
TK831,storm
TK673,fog
TK419,storm
TK772,clear
TK884,clear
TK916,clear
TK395,rain
TK824,rain
TK848,storm
TK736,rain
TK920,clear
TK278,rain
TK256,clear
TK697,clear
TK258,rain
TK943,clear
TK910,storm
TK811,rain
TK309,storm
TK423,clear
TK477,fog
TK924,clear
TK412,clear
TK485,rain
TK975,clear
TK162,clear
TK183,storm
TK990,rain
TK385,clear
TK213,rain
TK970,clear
TK154,rain
TK542,rain
TK363,rain
TK551,rain
TK613,clear
TK360,fog
TK599,clear
TK820,clear
TK458,clear
TK208,clear
TK784,rain
TK921,fog
TK843,clear
TK411,rain
TK581,clear
TK160,rain
TK668,clear
TK760,clear
TK188,clear
TK877,clear
TK236,clear
TK471,clear
TK251,clear
TK138,rain
TK260,fog
TK645,fog
TK539,clear
TK488,fog
TK245,clear
TK988,clear
TK479,clear
TK325,clear
TK465,rain
TK987,clear
TK119,clear
TK456,fog
TK223,rain
TK136,clear
TK400,clear
TK670,storm
TK290,clear
TK455,clear
TK145,fog
TK955,clear
TK573,clear
TK862,clear
TK370,clear
